year,region_name,count,mean,min,max
2019,Královéhradecký,244,113.53688524590164,1,1115
2019,Liberecký,176,95.4659090909091,1,1571
2019,Moravskoslezský,232,128.56465517241378,1,1494
2019,Olomoucký,216,113.79166666666667,1,1059
2019,Pardubický,239,91.17573221757323,1,684
2019,Plzeňský,253,98.18972332015811,1,1094
2019,Středočeský,133,123.32330827067669,1,955
2019,Ústecký,255,76.86274509803921,1,853
2020,Hl. m. Praha,478,215.7866108786611,1,4737
2020,Jihomoravský,299,123.51505016722408,1,1471
2020,Jihočeský,241,81.91286307053942,1,711
2020,Karlovarský,196,66.95408163265306,1,672
2020,Královéhradecký,251,91.23505976095618,1,920
2020,Liberecký,191,78.50785340314137,1,1254
2020,Moravskoslezský,241,111.33195020746888,1,1449
2020,Olomoucký,235,79.02978723404256,1,635
2020,Pardubický,232,62.19827586206897,1,643
2020,Plzeňský,285,90.81052631578947,1,741
2020,Středočeský,246,71.15853658536585,1,575
2020,Ústecký,265,84.58867924528302,1,1059
2021,Hl. m. Praha,494,216.8684210526316,1,4393
2021,Jihomoravský,321,112.78504672897196,1,1989
2021,Jihočeský,262,95.62213740458016,1,779
2021,Karlovarský,200,93.975,1,1585
2021,Královéhradecký,246,82.66260162601625,1,995
2021,Liberecký,220,85.23636363636363,1,3419
2021,Moravskoslezský,300,124.49666666666667,1,1796
2021,Olomoucký,223,105.86547085201794,1,1142
2021,Pardubický,225,61.19555555555556,1,514
2021,Plzeňský,296,116.1858108108108,1,1040
2021,Středočeský,274,84.66058394160584,1,657
2021,Vysočina,178,73.64606741573034,2,726
2021,Zlínský,38,35.0,1,140
2021,Ústecký,232,83.66810344827586,1,976
2022,Hl. m. Praha,489,263.8425357873211,1,6449
2022,Jihomoravský,354,145.8418079096045,1,1955
2022,Jihočeský,301,95.81395348837209,1,990
2022,Karlovarský,189,86.36507936507937,1,777
2022,Královéhradecký,234,98.11111111111111,1,1104
2022,Liberecký,223,103.08968609865471,1,3622
2022,Moravskoslezský,293,145.5631399317406,1,2312
2022,Olomoucký,245,122.85306122448979,1,1296
2022,Pardubický,242,82.02892561983471,1,788
2022,Plzeňský,309,131.33656957928804,1,1644
2022,Středočeský,271,116.7011070110701,1,1054
2022,Vysočina,243,111.7119341563786,1,1177
2022,Zlínský,91,79.97802197802197,1,551
2022,Ústecký,251,80.80478087649402,1,692
2023,Hl. m. Praha,472,292.96610169491527,1,5274
2023,Jihomoravský,321,168.54205607476635,1,2053
2023,Jihočeský,300,96.46,1,858
2023,Karlovarský,211,71.60189573459715,1,516
2023,Královéhradecký,249,101.23293172690764,1,1376
2023,Liberecký,212,109.94339622641509,1,3521
2023,Moravskoslezský,331,177.2809667673716,1,2628
2023,Olomoucký,235,142.48510638297873,1,1278
2023,Pardubický,263,84.27376425855513,1,879
2023,Plzeňský,302,147.09271523178808,1,1817
2023,Středočeský,288,121.5625,1,1016
2023,Vysočina,242,115.5495867768595,1,1291
2023,Zlínský,108,67.17592592592592,1,580
2023,Ústecký,258,87.99612403100775,1,955
